NY.GDP.PCAP.KD,Country_Region,country_ave_temp
563.825662667794,Afghanistan,14.045007194244604
5079.40111990631,Albania,12.610645925457991
4764.37563637977,Algeria,22.985111769059955
44569.7830090145,Andorra,11.201553063802907
10043.5085520823,Argentina,14.621194210526316
4406.70643395879,Armenia,8.551647926634768
56842.3055122125,Australia,21.62469689119171
50019.8702125281,Austria,6.210731838281744
5768.99240538437,Azerbaijan,11.175936074918567
21438.409900445102,Bahrain,25.9308093346574
1203.21626488899,Bangladesh,24.820242783708977
6744.49866958786,Belarus,5.819288060644346
47166.4843582889,Belgium,9.483378395451673
3128.00090457946,Bhutan,11.811878969957082
2559.51131656583,Bolivia,20.87723052631579
6032.24619878815,Bosnia and Herzegovina,NA
11026.2412096851,Brazil,24.69925554528651
31436.8681969939,Brunei Darussalam,NA
8651.09480143084,Bulgaria,10.482968414403032
712.036087765552,Burkina Faso,28.083506760411034
1205.04094079918,Cambodia,26.65685403576607
1500.70389669986,Cameroon,24.352585590778098
51391.7084172258,Canada,-5.216658945686901
15130.1543224458,Chile,9.383473684210527
7752.5595253168,China,6.612731031349386
7691.74556389965,Colombia,24.716870967741936
418.738623106015,"Congo, Dem. Rep.",NA
9889.74351494095,Costa Rica,25.61578443420379
1692.54454993513,Cote d'Ivoire,NA
15889.6039129594,Croatia,11.342399873657612
30926.4517164312,Cyprus,18.787745686421605
23358.8729537639,Czech Republic,7.626019267214151
63873.4640136784,Denmark,-18.053050699300698
7697.72362298411,Dominican Republic,25.547511210762334
5185.09146085163,Ecuador,21.869970347003154
2907.31758471118,"Egypt, Arab Rep.",NA
19954.1301112109,Estonia,4.8198057485786485
48749.0831062822,Finland,1.244742261528743
43663.5849237297,France,12.772445672773216
4721.30288680934,Georgia,8.106881895881896
47477.8381544914,Germany,8.152496209728364
23558.0839659892,Greece,14.773012002526848
2219.31966487966,Honduras,24.695547994592157
16647.7472023211,Hungary,9.722423246999368
52103.1703035501,Iceland,1.4050650663297537
2100.80078047205,India,23.873789473684212
4284.65253543916,Indonesia,25.684483767961684
NA,"Iran, Islamic Rep.",NA
5477.69614815968,Iraq,21.775628879310347
76880.8076965505,Ireland,9.419558433354391
34745.7666176869,Israel,19.626577302631578
35431.8565490753,Italy,12.737121920404295
4855.26207081811,Jamaica,26.09633956386293
48919.798941967,Japan,11.951907335907336
3266.74698529318,Jordan,19.3465125877012
26761.9413808055,"Korea, Rep.",NA
33112.1304072421,Kuwait,25.098140232108317
16268.9532242356,Latvia,5.320545167403664
6249.76665455924,Lebanon,17.63161773078487
NA,Liechtenstein,4.642939039797852
17708.5280356416,Lithuania,5.9079917877447885
110742.316043137,Luxembourg,9.16519646241314
12120.0832647974,Malaysia,25.80544200779727
8033.32562707311,Maldives,NA
28594.3001417741,Malta,18.494875319693094
10403.540397147,Mexico,20.56755804195804
2668.65769239385,Moldova,8.9317166771952
195879.63737503,Monaco,9.024701831964624
4210.04229303741,Mongolia,-0.8206709844559585
3357.35910150118,Morocco,17.627497409326423
817.446886047779,Nepal,14.807390612244898
55022.918199869,Netherlands,9.504604548325963
37997.3539814059,New Zealand,10.371239107883817
2396.31091419546,Nigeria,26.744708309122604
5394.28847819909,North Macedonia,NA
92077.574309644,Norway,0.09580385344283006
15796.7730860886,Oman,26.916862665897288
1197.84274427141,Pakistan,20.615513304305757
11723.9305639817,Panama,26.291620638085742
5396.48081204328,Paraguay,23.23796755725191
6453.56052508568,Peru,19.935974230043996
3021.98686253681,Philippines,26.44047248677249
16659.3321065175,Poland,7.46020593809223
23994.6624298675,Portugal,14.688179987212276
63260.5584959583,Qatar,26.784996015936255
11532.0634852715,Romania,8.76090176879343
11729.0943743777,Russian Federation,NA
NA,San Marino,13.831422299431459
20819.7445742964,Saudi Arabia,25.546407835258666
1546.52015893317,Senegal,27.967375
6886.50034784975,Serbia,9.986563171193936
58247.8726396071,Singapore,26.523102826510723
20599.1468427086,Slovak Republic,NA
26768.3926429479,Slovenia,9.659700568540746
7433.61539826952,South Africa,17.27098291510945
32949.5819818571,Spain,13.61283417561592
3936.45024606602,Sri Lanka,26.947687001594897
57921.3792813456,Sweden,2.3863319646241314
79214.3547914834,Switzerland,6.992051484523057
6361.62499026563,Thailand,25.986800979519145
676.173403625576,Togo,26.871782756664775
4401.05718965754,Tunisia,19.97059047314578
15068.982383455,Turkey,11.631567300916139
3110.19464582486,Ukraine,7.653507264687303
40782.4436240123,United Arab Emirates,27.693994700582937
43324.5929697405,United Kingdom,8.489325331648768
54579.0168374446,United States,8.60357252215955
1964.4759908863,Vietnam,23.688365504061156
